Time	Channel A	Channel B
(us)	(V)	(V)

0.00000000	5.82567800	2.63069600
0.08000000	5.82567800	2.63069600
0.16000000	5.82567800	2.54280200
0.24000000	5.82567800	2.54280200
0.32000000	5.82567800	2.54280200
0.40000000	5.82567800	2.54280200
0.48000000	5.73717500	2.45490900
0.56000000	5.82567800	2.45490900
0.64000000	5.82567800	2.45490900
0.72000000	5.82567800	2.45490900
0.80000000	5.82567800	2.36701600
0.87999999	5.82567800	2.36701600
0.95999999	5.82567800	2.36701600
1.03999999	5.73717500	2.27942800
1.11999999	5.73717500	2.27942800
1.19999999	5.73717500	2.27942800
1.27999999	5.73717500	2.19153400
1.35999999	5.73717500	2.19153400
1.43999999	5.73717500	2.19153400
1.51999999	5.73717500	2.19153400
1.59999999	5.82567800	2.10364100
1.67999999	5.73717500	2.10364100
1.75999999	5.73717500	2.10364100
1.83999999	5.73717500	2.10364100
1.91999999	5.73717500	2.01574800
1.99999999	5.73717500	2.01574800
2.07999999	5.73717500	2.01574800
2.15999999	5.73717500	2.01574800
2.23999999	5.64836500	1.92815900
2.31999999	5.64836500	1.92815900
2.39999999	5.64836500	1.92815900
2.47999998	5.64836500	1.92815900
2.55999998	5.64836500	1.84026600
2.63999998	5.64836500	1.84026600
2.71999998	5.64836500	1.84026600
2.79999998	5.64836500	1.75237300
2.87999998	5.64836500	1.75237300
2.95999998	5.64836500	1.75237300
3.03999998	5.64836500	1.75237300
3.11999998	5.64836500	1.75237300
3.19999998	5.64836500	1.57689100
3.27999998	5.64836500	1.66447900
3.35999998	5.55986200	1.57689100
3.43999998	5.64836500	1.57689100
3.51999998	5.55986200	1.57689100
3.59999998	5.55986200	1.57689100
3.67999998	5.55986200	1.48899800
3.75999998	5.55986200	1.48899800
3.83999998	5.47105300	1.48899800
3.91999998	5.20523700	1.40110500
3.99999998	4.76180300	1.40110500
4.07999998	4.40717800	1.40110500
4.15999997	4.31867400	1.40110500
4.23999997	4.31867400	1.31321100
4.31999997	4.31867400	1.31321100
4.39999997	4.31867400	1.31321100
4.47999997	4.31867400	1.22531800
4.55999997	4.31867400	1.22531800
4.63999997	4.31867400	1.22531800
4.71999997	4.31867400	1.13773000
4.79999997	4.31867400	1.13773000
4.87999997	4.31867400	1.13773000
4.95999997	4.31867400	1.04983700
5.03999997	4.22986600	1.04983700
5.11999997	4.22986600	1.04983700
5.19999997	4.31867400	1.04983700
5.27999997	4.31867400	1.04983700
5.35999997	4.31867400	0.96194340
5.43999997	4.22986600	0.87405010
5.51999997	4.22986600	0.96194340
5.59999997	4.22986600	0.96194340
5.67999997	4.22986600	0.87405010
5.75999996	4.22986600	0.87405010
5.83999996	4.22986600	0.78646200
5.91999996	4.22986600	0.78646200
5.99999996	4.22986600	0.78646200
6.07999996	4.22986600	0.78646200
6.15999996	4.22986600	0.69856870
6.23999996	4.22986600	0.69856870
6.31999996	4.22986600	0.69856870
6.39999996	4.22986600	0.61067540
6.47999996	4.22986600	0.61067540
6.55999996	4.22986600	0.61067540
6.63999996	4.22986600	0.52278210
6.71999996	4.22986600	0.52278210
6.79999996	4.22986600	0.52278210
6.87999996	4.22986600	0.52278210
6.95999996	4.22986600	0.52278210
7.03999996	4.22986600	0.43519400
7.11999996	4.22986600	0.43519400
7.19999996	4.22986600	0.43519400
7.27999996	4.22986600	0.34730060
7.35999996	4.22986600	0.34730060
7.43999995	4.22986600	0.34730060
7.51999995	4.22986600	0.25940730
7.59999995	4.22986600	0.25940730
7.67999995	4.22986600	0.17151400
7.75999995	4.22986600	0.17151400
7.83999995	4.22986600	0.17151400
7.91999995	4.22986600	0.08392590
7.99999995	4.22986600	0.08392590
8.07999995	4.22986600	0.08392590
8.15999995	4.22986600	-0.00366222
8.23999995	4.22986600	-0.00366222
8.31999995	4.22986600	-0.00366222
8.39999995	4.22986600	-0.00366222
8.47999995	4.22986600	-0.09155553
8.55999995	4.22986600	-0.09155553
8.63999995	4.22986600	-0.09155553
8.71999995	4.22986600	-0.09155553
8.79999995	4.22986600	-0.17944880
8.87999995	4.22986600	-0.17944880
8.95999995	4.22986600	-0.26734220
9.03999995	4.22986600	-0.26734220
9.11999994	4.22986600	-0.26734220
9.19999994	4.31867400	-0.35493030
9.27999994	4.31867400	-0.35493030
9.35999994	4.31867400	-0.35493030
9.43999994	4.05255300	-0.44282360
9.51999994	3.16599000	-0.44282360
9.59999994	1.39286500	-0.44282360
9.67999994	0.94943080	-0.44282360
9.75999994	0.68361460	-0.53071690
9.83999994	0.68361460	-0.53071690
9.91999994	0.68361460	-0.53071690
9.99999994	0.68361460	-0.53071690
10.07999994	0.68361460	-0.61861020
10.15999994	0.68361460	-0.61861020
10.23999994	0.68361460	-0.61861020
10.31999994	0.68361460	-0.70619830
10.39999994	0.68361460	-0.70619830
10.47999994	0.68361460	-0.79409160
10.55999994	0.68361460	-0.79409160
10.63999994	0.77211830	-0.79409160
10.71999993	0.68361460	-0.79409160
10.79999993	0.68361460	-0.88198490
10.87999993	0.68361460	-0.88198490
10.95999993	0.68361460	-0.96987830
11.03999993	0.77211830	-0.96987830
11.11999993	0.77211830	-1.05746600
11.19999993	0.77211830	-1.05746600
11.27999993	0.77211830	-1.05746600
11.35999993	0.77211830	-1.05746600
11.43999993	0.77211830	-1.14536000
11.51999993	0.77211830	-1.14536000
11.59999993	0.77211830	-1.23325300
11.67999993	0.77211830	-1.23325300
11.75999993	0.77211830	-1.23325300
11.83999993	0.77211830	-1.32114600
11.91999993	0.77211830	-1.32114600
11.99999993	0.77211830	-1.40904000
12.07999993	0.86092720	-1.40904000
12.15999993	0.86092720	-1.40904000
12.23999993	0.86092720	-1.40904000
12.31999993	0.77211830	-1.49662800
12.39999992	0.86092720	-1.49662800
12.47999992	0.86092720	-1.58452100
12.55999992	0.86092720	-1.58452100
12.63999992	0.86092720	-1.67241400
12.71999992	0.86092720	-1.67241400
12.79999992	0.86092720	-1.67241400
12.87999992	0.77211830	-1.76030800
12.95999992	0.86092720	-1.76030800
13.03999992	0.86092720	-1.76030800
13.11999992	0.86092720	-1.84789600
13.19999992	0.86092720	-1.84789600
13.27999992	0.86092720	-1.93578900
13.35999992	0.86092720	-1.93578900
13.43999992	0.86092720	-1.93578900
13.51999992	0.86092720	-2.02368200
13.59999992	0.86092720	-2.02368200
13.67999992	0.86092720	-2.11157600
13.75999992	0.86092720	-2.11157600
13.83999992	0.86092720	-2.11157600
13.91999992	0.86092720	-2.19916400
13.99999991	0.86092720	-2.19916400
14.07999991	0.94943080	-2.19916400
14.15999991	0.86092720	-2.28705700
14.23999991	0.86092720	-2.28705700
14.31999991	0.94943080	-2.37495000
14.39999991	0.94943080	-2.37495000
14.47999991	0.94943080	-2.37495000
14.55999991	0.86092720	-2.46284400
14.63999991	0.86092720	-2.46284400
14.71999991	0.86092720	-2.55043200
14.79999991	0.86092720	-2.55043200
14.87999991	0.86092720	-2.55043200
14.95999991	0.94943080	-2.63832500
15.03999991	0.94943080	-2.63832500
15.11999991	0.94943080	-2.63832500
15.19999991	0.94943080	-2.72621800
15.27999991	0.94943080	-2.81411200
15.35999991	0.86092720	-2.81411200
15.43999991	0.86092720	-2.81411200
15.51999991	0.94943080	-2.90200500
15.59999991	0.94943080	-2.90200500
15.67999990	0.94943080	-2.90200500
15.75999990	0.94943080	-2.90200500
15.83999990	0.94943080	-2.98959300
15.91999990	0.94943080	-2.98959300
15.99999990	0.94943080	-3.07748700
16.07999990	0.94943080	-3.07748700
16.15999990	0.94943080	-3.16538000
16.23999990	0.94943080	-3.16538000
16.31999990	0.94943080	-3.16538000
16.39999990	0.94943080	-3.16538000
16.47999990	0.94943080	-3.25327300
16.55999990	0.94943080	-3.25327300
16.63999990	0.94943080	-3.34086100
16.71999990	0.94943080	-3.34086100
16.79999990	0.94943080	-3.34086100
16.87999990	1.03824000	-3.34086100
16.95999990	0.94943080	-3.34086100
17.03999990	0.94943080	-3.42875500
17.11999990	0.94943080	-3.51664800
17.19999990	0.94943080	-3.51664800
17.27999989	0.94943080	-3.51664800
17.35999989	0.94943080	-3.51664800
17.43999989	0.94943080	-3.60454100
17.51999989	0.94943080	-3.60454100
17.59999989	0.94943080	-3.60454100
17.67999989	0.94943080	-3.69212900
17.75999989	0.94943080	-3.69212900
17.83999989	0.94943080	-3.69212900
17.91999989	1.03824000	-3.78002300
17.99999989	0.94943080	-3.78002300
18.07999989	0.94943080	-3.78002300
18.15999989	0.94943080	-3.86791600
18.23999989	0.94943080	-3.86791600
18.31999989	1.03824000	-3.86791600
18.39999989	0.94943080	-3.86791600
18.47999989	0.94943080	-3.86791600
18.55999989	0.94943080	-3.95580900
18.63999989	0.94943080	-3.95580900
18.71999989	0.94943080	-3.95580900
18.79999989	0.94943080	-4.04339700
18.87999989	0.94943080	-4.04339700
18.95999988	0.94943080	-4.04339700
19.03999988	0.94943080	-4.04339700
19.11999988	0.94943080	-4.04339700
19.19999988	0.94943080	-4.13129000
19.27999988	0.94943080	-4.13129000
19.35999988	0.94943080	-4.04339700
19.43999988	0.94943080	-4.13129000
19.51999988	0.94943080	-4.21918400
19.59999988	0.94943080	-4.21918400
19.67999988	0.94943080	-4.21918400
19.75999988	0.94943080	-4.21918400
19.83999988	1.03824000	-4.21918400
19.91999988	0.94943080	-4.21918400
19.99999988	0.94943080	-4.21918400
20.07999988	0.94943080	-4.30707700
20.15999988	0.94943080	-4.30707700
20.23999988	0.94943080	-4.30707700
20.31999988	0.94943080	-4.30707700
20.39999988	0.94943080	-4.30707700
20.47999988	1.03824000	-4.30707700
20.55999988	0.94943080	-4.30707700
20.63999987	0.94943080	-4.30707700
20.71999987	0.94943080	-4.39497000
20.79999987	0.94943080	-4.39497000
20.87999987	0.94943080	-4.30707700
20.95999987	0.94943080	-4.39497000
21.03999987	0.94943080	-4.39497000
21.11999987	0.94943080	-4.39497000
21.19999987	0.94943080	-4.39497000
21.27999987	0.94943080	-4.39497000
21.35999987	0.94943080	-4.39497000
21.43999987	0.94943080	-4.39497000
21.51999987	0.94943080	-4.39497000
21.59999987	0.94943080	-4.39497000
21.67999987	0.94943080	-4.39497000
21.75999987	0.94943080	-4.39497000
21.83999987	0.94943080	-4.39497000
21.91999987	0.94943080	-4.39497000
21.99999987	0.94943080	-4.39497000
22.07999987	0.94943080	-4.39497000
22.15999987	0.94943080	-4.39497000
22.23999986	0.94943080	-4.39497000
22.31999986	0.86092720	-4.39497000
22.39999986	0.94943080	-4.39497000
22.47999986	0.94943080	-4.39497000
22.55999986	0.94943080	-4.39497000
22.63999986	0.94943080	-4.39497000
22.71999986	0.94943080	-4.39497000
22.79999986	0.94943080	-4.39497000
22.87999986	0.94943080	-4.39497000
22.95999986	0.94943080	-4.39497000
23.03999986	0.94943080	-4.30707700
23.11999986	0.86092720	-4.30707700
23.19999986	0.94943080	-4.30707700
23.27999986	0.86092720	-4.30707700
23.35999986	0.86092720	-4.30707700
23.43999986	0.94943080	-4.30707700
23.51999986	0.86092720	-4.21918400
23.59999986	0.94943080	-4.21918400
23.67999986	0.94943080	-4.21918400
