Time	Channel A
(us)	(V)

0.00000000	1.30405600
0.04000000	1.30405600
0.08000000	1.30405600
0.12000000	1.30405600
0.16000000	1.30405600
0.20000000	1.30405600
0.24000000	1.30405600
0.28000000	1.30405600
0.32000000	1.39286500
0.36000000	1.39286500
0.40000000	1.39286500
0.44000000	1.39286500
0.48000000	1.39286500
0.52000000	1.39286500
0.56000000	1.48136800
0.60000000	1.48136800
0.64000000	1.48136800
0.68000000	1.48136800
0.72000000	1.57017700
0.76000000	1.48136800
0.80000000	1.48136800
0.83999999	1.57017700
0.87999999	1.48136800
0.91999999	1.57017700
0.95999999	1.57017700
0.99999999	1.57017700
1.03999999	1.57017700
1.07999999	1.57017700
1.11999999	1.65868100
1.15999999	1.65868100
1.19999999	1.65868100
1.23999999	1.65868100
1.27999999	1.65868100
1.31999999	1.65868100
1.35999999	1.65868100
1.39999999	1.74749000
1.43999999	1.65868100
1.47999999	1.74749000
1.51999999	1.65868100
1.55999999	1.74749000
1.59999999	1.74749000
1.63999999	1.74749000
1.67999999	1.74749000
1.71999999	1.83599400
1.75999999	1.83599400
1.79999999	1.92480200
1.83999999	1.92480200
1.87999999	1.92480200
1.91999999	2.01330600
1.95999999	2.01330600
1.99999999	2.10211500
2.03999999	2.19061900
2.07999999	2.27942800
2.11999999	2.27942800
2.15999999	2.36793100
2.19999999	2.45674000
2.23999999	2.63405300
2.27999999	2.63405300
2.31999999	2.81136500
2.35999999	2.89986900
2.39999999	2.98867800
2.43999999	3.16599000
2.47999998	3.25479900
2.51999998	3.34330300
2.55999998	3.43211200
2.59999998	3.60942400
2.63999998	3.69792800
2.67999998	3.78673700
2.71999998	3.87524000
2.75999998	4.05255300
2.79999998	4.14136200
2.83999998	4.22986600
2.87999998	4.40717800
2.91999998	4.49598700
2.95999998	4.58449000
2.99999998	4.67329900
3.03999998	4.76180300
3.07999998	4.93911600
3.11999998	5.02792500
3.15999998	5.11642800
3.19999998	5.20523700
3.23999998	5.20523700
3.27999998	5.29374100
3.31999998	5.38254900
3.35999998	5.47105300
3.39999998	5.55986200
3.43999998	5.55986200
3.47999998	5.64836500
3.51999998	5.64836500
3.55999998	5.82567800
3.59999998	5.82567800
3.63999998	5.82567800
3.67999998	5.91448700
3.71999998	5.91448700
3.75999998	6.00329600
3.79999998	6.00329600
3.83999998	6.00329600
3.87999998	6.09180000
3.91999998	6.09180000
3.95999998	6.09180000
3.99999998	6.00329600
4.03999998	6.09180000
4.07999998	6.09180000
