Time	Channel B
(us)	(V)

0.00000000	-1.31107500
0.04000000	-1.48686200
0.08000000	-1.31107500
0.12000000	-1.48686200
0.16000000	-1.48686200
0.20000000	-1.48686200
0.24000000	-1.48686200
0.28000000	-1.48686200
0.32000000	-1.48686200
0.36000000	-1.48686200
0.40000000	-1.48686200
0.44000000	-1.48686200
0.48000000	-1.66203800
0.52000000	-1.66203800
0.56000000	-1.66203800
0.60000000	-1.66203800
0.64000000	-1.66203800
0.68000000	-1.66203800
0.72000000	-1.83782500
0.76000000	-1.83782500
0.80000000	-1.83782500
0.83999999	-2.01361100
0.87999999	-1.83782500
0.91999999	-2.01361100
0.95999999	-2.01361100
0.99999999	-2.01361100
1.03999999	-2.01361100
1.07999999	-2.18878700
1.11999999	-2.18878700
1.15999999	-2.18878700
1.19999999	-2.18878700
1.23999999	-2.18878700
1.27999999	-2.18878700
1.31999999	-2.18878700
1.35999999	-2.18878700
1.39999999	-2.18878700
1.43999999	-2.18878700
1.47999999	-2.18878700
1.51999999	-2.36457400
1.55999999	-2.36457400
1.59999999	-2.36457400
1.63999999	-2.53975000
1.67999999	-2.53975000
1.71999999	-2.53975000
1.75999999	-2.53975000
1.79999999	-2.53975000
1.83999999	-2.53975000
1.87999999	-2.71553700
1.91999999	-2.53975000
1.95999999	-2.71553700
1.99999999	-2.71553700
2.03999999	-2.71553700
2.07999999	-2.71553700
2.11999999	-2.89132400
2.15999999	-2.71553700
2.19999999	-2.89132400
2.23999999	-2.89132400
2.27999999	-2.89132400
2.31999999	-2.89132400
2.35999999	-2.89132400
2.39999999	-2.89132400
2.43999999	-2.89132400
2.47999998	-2.89132400
2.51999998	-2.89132400
2.55999998	-2.89132400
2.59999998	-3.06650000
2.63999998	-3.06650000
2.67999998	-3.06650000
2.71999998	-3.06650000
2.75999998	-3.06650000
2.79999998	-3.24228600
2.83999998	-3.06650000
2.87999998	-3.24228600
2.91999998	-3.24228600
2.95999998	-3.06650000
2.99999998	-3.24228600
3.03999998	-3.24228600
3.07999998	-3.24228600
3.11999998	-3.24228600
3.15999998	-3.24228600
3.19999998	-3.41746300
3.23999998	-3.41746300
3.27999998	-3.41746300
3.31999998	-3.41746300
3.35999998	-3.59324900
3.39999998	-3.59324900
3.43999998	-3.59324900
3.47999998	-3.41746300
3.51999998	-3.41746300
3.55999998	-3.59324900
3.59999998	-3.59324900
3.63999998	-3.59324900
3.67999998	-3.59324900
3.71999998	-3.59324900
3.75999998	-3.59324900
