Time	Channel B
(us)	(V)

0.00000000	5.88519000
0.04000000	5.88519000
0.08000000	5.88519000
0.12000000	5.88519000
0.16000000	5.88519000
0.20000000	5.88519000
0.24000000	5.88519000
0.28000000	5.88519000
0.32000000	5.88519000
0.36000000	5.88519000
0.40000000	6.06097600
0.44000000	6.06097600
0.48000000	6.06097600
0.52000000	6.06097600
0.56000000	6.06097600
0.60000000	6.06097600
0.64000000	5.88519000
0.68000000	6.23615200
0.72000000	6.06097600
0.76000000	6.06097600
0.80000000	6.06097600
0.83999999	6.06097600
0.87999999	6.06097600
0.91999999	6.23615200
0.95999999	6.23615200
0.99999999	6.06097600
1.03999999	6.23615200
1.07999999	6.23615200
1.11999999	6.23615200
1.15999999	6.23615200
1.19999999	6.23615200
1.23999999	6.23615200
1.27999999	6.23615200
1.31999999	6.23615200
1.35999999	6.23615200
1.39999999	6.23615200
1.43999999	6.23615200
1.47999999	6.23615200
1.51999999	6.23615200
1.55999999	6.23615200
1.59999999	6.23615200
1.63999999	6.23615200
1.67999999	6.23615200
1.71999999	6.23615200
1.75999999	6.23615200
1.79999999	6.23615200
1.83999999	6.23615200
1.87999999	6.23615200
1.91999999	6.23615200
1.95999999	6.23615200
1.99999999	6.41193900
2.03999999	6.23615200
2.07999999	6.23615200
2.11999999	6.41193900
2.15999999	6.41193900
2.19999999	6.41193900
2.23999999	6.23615200
2.27999999	6.23615200
2.31999999	6.23615200
2.35999999	6.23615200
2.39999999	6.23615200
2.43999999	6.23615200
2.47999998	6.23615200
2.51999998	6.23615200
2.55999998	6.23615200
2.59999998	6.23615200
2.63999998	6.23615200
2.67999998	6.23615200
2.71999998	6.23615200
2.75999998	6.23615200
2.79999998	6.23615200
2.83999998	6.06097600
2.87999998	6.06097600
2.91999998	6.06097600
2.95999998	6.06097600
2.99999998	5.88519000
3.03999998	5.88519000
3.07999998	5.88519000
3.11999998	5.88519000
3.15999998	5.71001300
3.19999998	5.71001300
3.23999998	5.71001300
3.27999998	5.53422600
3.31999998	5.53422600
3.35999998	5.53422600
3.39999998	5.53422600
3.43999998	5.35844000
3.47999998	5.35844000
3.51999998	5.18326400
3.55999998	5.35844000
3.59999998	5.18326400
3.63999998	5.00747700
3.67999998	5.00747700
3.71999998	5.00747700
3.75999998	5.00747700
3.79999998	4.83230100
3.83999998	4.83230100
3.87999998	4.83230100
3.91999998	4.83230100
3.95999998	4.65651400
3.99999998	4.65651400
4.03999998	4.65651400
4.07999998	4.65651400
