Time	Channel A	Channel B
(us)	(V)	(V)

0.00000000	4.93911600	0.61067540
0.08000000	4.93911600	0.61067540
0.16000000	4.93911600	0.61067540
0.24000000	4.93911600	0.61067540
0.32000000	4.93911600	0.61067540
0.40000000	4.93911600	0.61067540
0.48000000	4.93911600	0.61067540
0.56000000	4.93911600	0.61067540
0.64000000	4.93911600	0.61067540
0.72000000	4.93911600	0.61067540
0.80000000	4.93911600	0.61067540
0.87999999	4.93911600	0.61067540
0.95999999	4.93911600	0.61067540
1.03999999	4.93911600	0.61067540
1.11999999	4.93911600	0.61067540
1.19999999	4.93911600	0.61067540
1.27999999	4.93911600	0.61067540
1.35999999	4.93911600	0.61067540
1.43999999	4.93911600	0.61067540
1.51999999	4.93911600	0.61067540
1.59999999	4.93911600	0.61067540
1.67999999	4.93911600	0.61067540
1.75999999	4.93911600	0.61067540
1.83999999	4.93911600	0.61067540
1.91999999	4.93911600	0.61067540
1.99999999	4.93911600	0.61067540
2.07999999	4.93911600	0.61067540
2.15999999	4.93911600	0.61067540
2.23999999	4.93911600	0.61067540
2.31999999	4.93911600	0.61067540
2.39999999	4.93911600	0.61067540
2.47999998	4.93911600	0.69856870
2.55999998	4.93911600	0.61067540
2.63999998	4.93911600	0.61067540
2.71999998	4.93911600	0.61067540
2.79999998	4.93911600	0.61067540
2.87999998	4.93911600	0.61067540
2.95999998	4.93911600	0.61067540
3.03999998	4.93911600	0.61067540
3.11999998	4.93911600	0.61067540
3.19999998	4.93911600	0.61067540
3.27999998	4.93911600	0.61067540
3.35999998	4.93911600	0.61067540
3.43999998	4.93911600	0.61067540
3.51999998	4.93911600	0.61067540
3.59999998	4.93911600	0.61067540
3.67999998	4.93911600	0.61067540
3.75999998	4.93911600	0.61067540
3.83999998	4.93911600	0.61067540
3.91999998	4.93911600	0.61067540
3.99999998	4.93911600	0.61067540
4.07999998	4.93911600	0.61067540
4.15999997	4.93911600	0.61067540
4.23999997	4.93911600	0.61067540
4.31999997	4.93911600	0.61067540
4.39999997	4.93911600	0.61067540
4.47999997	4.93911600	0.61067540
4.55999997	4.93911600	0.61067540
4.63999997	4.93911600	0.61067540
4.71999997	4.93911600	0.61067540
4.79999997	4.93911600	0.61067540
4.87999997	4.93911600	0.61067540
4.95999997	4.93911600	0.61067540
5.03999997	4.93911600	0.61067540
5.11999997	4.93911600	0.61067540
5.19999997	4.93911600	0.61067540
5.27999997	4.93911600	0.61067540
5.35999997	4.93911600	0.61067540
5.43999997	4.93911600	0.61067540
5.51999997	4.93911600	0.61067540
5.59999997	4.93911600	0.61067540
5.67999997	4.93911600	0.61067540
5.75999996	4.93911600	0.61067540
5.83999996	4.93911600	0.61067540
5.91999996	4.93911600	0.61067540
5.99999996	4.93911600	0.61067540
6.07999996	4.85061200	0.61067540
6.15999996	4.93911600	0.61067540
6.23999996	4.93911600	0.61067540
6.31999996	4.93911600	0.61067540
6.39999996	4.93911600	0.61067540
6.47999996	4.85061200	-0.53071690
6.55999996	4.93911600	-0.35493030
6.63999996	4.93911600	-0.35493030
6.71999996	4.76180300	-0.26734220
6.79999996	4.49598700	-0.26734220
6.87999996	2.01330600	0.08392590
6.95999996	0.86092720	4.91409000
7.03999996	0.41749320	5.00167800
7.11999996	0.50630210	5.00167800
7.19999996	0.50630210	4.82619700
7.27999996	0.50630210	4.91409000
7.35999996	0.50630210	4.82619700
7.43999995	0.50630210	4.82619700
7.51999995	0.50630210	4.82619700
7.59999995	0.59480580	4.82619700
7.67999995	0.59480580	4.82619700
7.75999995	0.59480580	4.82619700
7.83999995	0.59480580	4.91409000
7.91999995	0.50630210	4.82619700
7.99999995	0.59480580	4.82619700
8.07999995	0.59480580	4.82619700
8.15999995	0.50630210	4.82619700
8.23999995	0.59480580	4.91409000
8.31999995	0.50630210	4.82619700
8.39999995	0.50630210	4.82619700
8.47999995	0.59480580	4.82619700
8.55999995	0.50630210	4.91409000
8.63999995	0.50630210	4.91409000
8.71999995	0.50630210	4.82619700
8.79999995	0.50630210	4.91409000
8.87999995	0.50630210	4.91409000
8.95999995	0.50630210	4.91409000
9.03999995	0.59480580	4.91409000
9.11999994	0.59480580	4.91409000
9.19999994	0.59480580	4.82619700
9.27999994	0.50630210	4.91409000
9.35999994	0.59480580	4.82619700
9.43999994	0.50630210	4.91409000
9.51999994	0.59480580	4.91409000
9.59999994	0.59480580	4.91409000
9.67999994	0.50630210	4.91409000
9.75999994	0.50630210	4.91409000
9.83999994	0.59480580	4.82619700
9.91999994	0.50630210	4.91409000
9.99999994	0.50630210	4.91409000
10.07999994	0.50630210	4.82619700
10.15999994	0.50630210	4.91409000
10.23999994	0.50630210	4.91409000
10.31999994	0.59480580	4.91409000
10.39999994	0.59480580	4.82619700
10.47999994	0.59480580	4.91409000
10.55999994	0.59480580	4.91409000
10.63999994	0.50630210	4.91409000
10.71999993	0.50630210	4.91409000
10.79999993	0.50630210	4.91409000
10.87999993	0.50630210	4.91409000
10.95999993	0.59480580	4.91409000
11.03999993	0.50630210	4.91409000
11.11999993	0.59480580	4.91409000
11.19999993	0.59480580	4.91409000
11.27999993	0.59480580	4.91409000
11.35999993	0.50630210	4.91409000
11.43999993	0.59480580	4.91409000
11.51999993	0.59480580	4.91409000
11.59999993	0.59480580	4.91409000
11.67999993	0.59480580	4.91409000
11.75999993	0.59480580	4.91409000
11.83999993	0.50630210	4.91409000
11.91999993	0.59480580	4.91409000
11.99999993	0.59480580	4.91409000
12.07999993	0.50630210	4.91409000
12.15999993	0.50630210	4.91409000
12.23999993	0.59480580	4.91409000
12.31999993	0.59480580	4.91409000
12.39999992	0.59480580	4.91409000
12.47999992	0.59480580	4.91409000
12.55999992	0.59480580	4.91409000
12.63999992	0.59480580	4.91409000
12.71999992	0.59480580	4.91409000
12.79999992	0.59480580	4.91409000
12.87999992	0.59480580	4.91409000
12.95999992	0.59480580	4.91409000
13.03999992	0.50630210	4.91409000
13.11999992	0.59480580	4.91409000
13.19999992	0.59480580	4.91409000
13.27999992	0.59480580	4.91409000
13.35999992	0.59480580	4.91409000
13.43999992	0.59480580	4.91409000
13.51999992	0.59480580	4.91409000
13.59999992	0.59480580	4.91409000
13.67999992	0.50630210	4.91409000
13.75999992	0.59480580	4.91409000
13.83999992	0.59480580	4.91409000
13.91999992	0.59480580	4.91409000
13.99999991	0.59480580	4.91409000
14.07999991	0.59480580	4.91409000
14.15999991	0.50630210	4.91409000
14.23999991	0.50630210	4.91409000
14.31999991	0.59480580	4.91409000
14.39999991	0.59480580	4.91409000
14.47999991	0.59480580	4.91409000
14.55999991	0.59480580	4.91409000
14.63999991	0.59480580	4.91409000
14.71999991	0.59480580	4.91409000
14.79999991	0.50630210	4.91409000
14.87999991	0.59480580	4.91409000
14.95999991	0.50630210	4.91409000
15.03999991	0.59480580	4.91409000
15.11999991	0.59480580	4.91409000
15.19999991	0.50630210	4.91409000
15.27999991	0.59480580	4.91409000
15.35999991	0.59480580	4.91409000
15.43999991	0.59480580	4.91409000
15.51999991	0.59480580	4.91409000
15.59999991	0.59480580	4.91409000
15.67999990	0.59480580	4.91409000
15.75999990	0.59480580	4.91409000
15.83999990	0.59480580	4.91409000
15.91999990	0.59480580	4.91409000
15.99999990	0.59480580	4.91409000
16.07999990	0.59480580	4.91409000
16.15999990	0.59480580	4.91409000
16.23999990	0.50630210	4.91409000
16.31999990	0.59480580	4.91409000
16.39999990	0.59480580	4.91409000
16.47999990	0.59480580	4.91409000
16.55999990	0.59480580	4.91409000
16.63999990	0.59480580	4.91409000
16.71999990	0.59480580	4.91409000
16.79999990	0.50630210	4.91409000
16.87999990	0.59480580	4.91409000
16.95999990	0.59480580	4.91409000
17.03999990	0.59480580	4.91409000
17.11999990	0.50630210	4.91409000
17.19999990	0.59480580	4.91409000
17.27999989	0.50630210	4.91409000
17.35999989	0.59480580	4.91409000
17.43999989	0.59480580	4.91409000
17.51999989	0.50630210	4.91409000
17.59999989	0.59480580	4.91409000
17.67999989	0.59480580	4.91409000
17.75999989	0.59480580	4.91409000
17.83999989	0.59480580	4.91409000
17.91999989	0.59480580	4.91409000
17.99999989	0.59480580	4.91409000
18.07999989	0.50630210	4.91409000
18.15999989	0.59480580	4.91409000
18.23999989	0.59480580	4.91409000
18.31999989	0.50630210	4.91409000
18.39999989	0.59480580	4.91409000
18.47999989	0.59480580	4.91409000
18.55999989	0.59480580	4.91409000
18.63999989	0.59480580	4.91409000
18.71999989	0.59480580	5.00167800
18.79999989	0.50630210	4.91409000
18.87999989	0.50630210	4.91409000
18.95999988	0.50630210	4.91409000
19.03999988	0.59480580	4.91409000
19.11999988	0.59480580	4.91409000
19.19999988	0.59480580	4.91409000
19.27999988	0.50630210	4.91409000
19.35999988	0.59480580	4.91409000
19.43999988	0.59480580	4.91409000
19.51999988	0.59480580	4.91409000
19.59999988	0.59480580	4.91409000
19.67999988	0.59480580	4.91409000
19.75999988	0.59480580	4.91409000
19.83999988	0.59480580	4.91409000
19.91999988	0.50630210	4.91409000
19.99999988	0.59480580	4.91409000
20.07999988	0.50630210	4.91409000
20.15999988	0.59480580	4.91409000
20.23999988	0.59480580	4.91409000
20.31999988	0.59480580	4.91409000
20.39999988	0.59480580	4.91409000
20.47999988	0.59480580	4.91409000
20.55999988	0.59480580	4.91409000
20.63999987	0.59480580	4.91409000
20.71999987	0.50630210	4.91409000
20.79999987	0.59480580	4.91409000
20.87999987	0.59480580	4.91409000
20.95999987	0.59480580	4.91409000
21.03999987	0.59480580	4.91409000
21.11999987	0.59480580	4.91409000
21.19999987	0.50630210	4.91409000
21.27999987	0.59480580	4.91409000
21.35999987	0.59480580	4.91409000
21.43999987	0.59480580	4.91409000
21.51999987	0.59480580	4.91409000
21.59999987	0.59480580	4.91409000
21.67999987	0.50630210	4.91409000
21.75999987	0.59480580	4.91409000
21.83999987	0.59480580	4.91409000
21.91999987	0.59480580	4.91409000
21.99999987	0.59480580	4.91409000
22.07999987	0.59480580	4.91409000
22.15999987	0.59480580	4.91409000
22.23999986	0.50630210	4.91409000
22.31999986	0.50630210	4.91409000
22.39999986	0.59480580	4.91409000
22.47999986	0.59480580	4.91409000
22.55999986	0.59480580	4.91409000
22.63999986	0.59480580	4.91409000
22.71999986	0.59480580	4.91409000
22.79999986	0.59480580	4.91409000
22.87999986	0.59480580	4.91409000
22.95999986	0.59480580	4.91409000
23.03999986	0.59480580	4.91409000
23.11999986	0.50630210	4.91409000
23.19999986	0.50630210	4.91409000
23.27999986	0.59480580	4.91409000
23.35999986	0.59480580	4.91409000
23.43999986	0.59480580	4.91409000
23.51999986	0.50630210	4.91409000
23.59999986	0.59480580	4.91409000
23.67999986	0.50630210	4.91409000
23.75999986	0.59480580	4.91409000
23.83999986	0.59480580	4.91409000
23.91999985	0.50630210	4.91409000
23.99999985	0.59480580	4.91409000
24.07999985	0.59480580	4.91409000
24.15999985	0.59480580	4.91409000
24.23999985	0.59480580	4.91409000
24.31999985	0.59480580	4.91409000
24.39999985	0.59480580	4.91409000
24.47999985	0.59480580	4.91409000
24.55999985	0.59480580	4.91409000
