Time	Channel B
(us)	(V)

0.00000000	0.09277627
0.04000000	0.09277627
0.08000000	0.09277627
0.12000000	0.09277627
0.16000000	0.09277627
0.20000000	0.09277627
0.24000000	0.09277627
0.28000000	0.09277627
0.32000000	0.09277627
0.36000000	0.09277627
0.40000000	0.09277627
0.44000000	0.09277627
0.48000000	0.09277627
0.52000000	0.09277627
0.56000000	0.09277627
0.60000000	0.09277627
0.64000000	0.09277627
0.68000000	0.09277627
0.72000000	0.09277627
0.76000000	0.09277627
0.80000000	0.09277627
0.83999999	0.09277627
0.87999999	0.09277627
0.91999999	0.09277627
0.95999999	0.09277627
0.99999999	0.09277627
1.03999999	0.09277627
1.07999999	0.09277627
1.11999999	0.09277627
1.15999999	0.09277627
1.19999999	0.09277627
1.23999999	0.09277627
1.27999999	0.09277627
1.31999999	-0.08239998
1.35999999	-0.08239998
1.39999999	-0.08239998
1.43999999	-0.08239998
1.47999999	-0.08239998
1.51999999	-0.08239998
1.55999999	-0.08239998
1.59999999	-0.25818660
1.63999999	-0.25818660
1.67999999	-0.43336280
1.71999999	-0.43336280
1.75999999	-0.60914950
1.79999999	-0.78432570
1.83999999	-0.78432570
1.87999999	-0.96011230
1.91999999	-1.13589900
1.95999999	-1.31107500
1.99999999	-1.48686200
2.03999999	-1.66203800
2.07999999	-1.83782500
2.11999999	-2.18878700
2.15999999	-2.18878700
2.19999999	-2.36457400
2.23999999	-2.53975000
2.27999999	-2.71553700
2.31999999	-2.89132400
2.35999999	-3.06650000
2.39999999	-3.24228600
2.43999999	-3.59324900
2.47999998	-3.59324900
2.51999998	-3.76903600
2.55999998	-3.94421200
2.59999998	-4.11999900
2.63999998	-4.29517500
2.67999998	-4.29517500
2.71999998	-4.47096200
2.75999998	-4.64674800
2.79999998	-4.64674800
2.83999998	-4.82192500
2.87999998	-4.99771100
2.91999998	-4.99771100
2.95999998	-4.99771100
2.99999998	-5.17288700
3.03999998	-5.34867400
3.07999998	-5.34867400
3.11999998	-5.34867400
3.15999998	-5.34867400
3.19999998	-5.52446100
3.23999998	-5.52446100
3.27999998	-5.52446100
3.31999998	-5.69963700
3.35999998	-5.69963700
3.39999998	-5.69963700
3.43999998	-5.69963700
3.47999998	-5.69963700
3.51999998	-5.69963700
3.55999998	-5.52446100
3.59999998	-5.69963700
3.63999998	-5.69963700
3.67999998	-5.52446100
3.71999998	-5.52446100
3.75999998	-5.34867400
3.79999998	-5.52446100
3.83999998	-5.34867400
3.87999998	-5.34867400
