time	V(n002)	V(n004)
0.000000000000000e+000	2.500000e+000	2.499505e+000
6.726387884866980e-002	2.499999e+000	2.499505e+000
1.345277576973396e-001	2.499999e+000	2.499506e+000
2.017916365460094e-001	2.499999e+000	2.499505e+000
2.690555153946792e-001	2.500000e+000	2.499505e+000
3.363193942433490e-001	2.500001e+000	2.499503e+000
4.035832730920188e-001	2.500003e+000	2.499502e+000
4.708471519406885e-001	2.500005e+000	2.499499e+000
4.797757233692599e-001	2.500005e+000	2.499499e+000
4.887042947978313e-001	2.500008e+000	2.499496e+000
4.976328662264028e-001	2.500014e+000	2.499491e+000
5.065614376549742e-001	2.500022e+000	2.499482e+000
5.154900090835457e-001	2.500033e+000	2.499472e+000
5.244185805121171e-001	2.500046e+000	2.499458e+000
5.333471519406885e-001	2.500062e+000	2.499442e+000
5.383694733692599e-001	2.500074e+000	2.499430e+000
5.433917947978314e-001	2.500091e+000	2.499413e+000
5.484141162264028e-001	2.500113e+000	2.499391e+000
5.534364376549742e-001	2.500140e+000	2.499363e+000
5.584587590835457e-001	2.500173e+000	2.499330e+000
5.634810805121171e-001	2.500211e+000	2.499292e+000
5.685034019406885e-001	2.500255e+000	2.499248e+000
5.743627769406885e-001	2.500322e+000	2.499180e+000
5.802221519406885e-001	2.500407e+000	2.499094e+000
5.860815269406885e-001	2.500515e+000	2.498985e+000
5.919409019406885e-001	2.500650e+000	2.498848e+000
5.978002769406885e-001	2.500822e+000	2.498675e+000
6.017065269406885e-001	2.500962e+000	2.498534e+000
6.056127769406885e-001	2.501124e+000	2.498370e+000
6.095190269406885e-001	2.501314e+000	2.498178e+000
6.134252769406885e-001	2.501537e+000	2.497954e+000
6.173315269406885e-001	2.501797e+000	2.497691e+000
6.212377769406885e-001	2.502101e+000	2.497385e+000
6.251440269406885e-001	2.502457e+000	2.497026e+000
6.290502769406885e-001	2.502872e+000	2.496606e+000
6.329565269406885e-001	2.503358e+000	2.496116e+000
6.368627769406885e-001	2.503927e+000	2.495543e+000
6.407690269406885e-001	2.504591e+000	2.494872e+000
6.446752769406885e-001	2.505368e+000	2.494088e+000
6.466284019406885e-001	2.505804e+000	2.493648e+000
6.485815269406885e-001	2.506276e+000	2.493172e+000
6.505346519406885e-001	2.506786e+000	2.492657e+000
6.524877769406885e-001	2.507338e+000	2.492100e+000
6.544409019406885e-001	2.507935e+000	2.491498e+000
6.563940269406885e-001	2.508580e+000	2.490848e+000
6.583471519406885e-001	2.509277e+000	2.490144e+000
6.603002769406885e-001	2.510031e+000	2.489383e+000
6.622534019406885e-001	2.510847e+000	2.488560e+000
6.642065269406885e-001	2.511729e+000	2.487670e+000
6.661596519406885e-001	2.512682e+000	2.486708e+000
6.681127769406885e-001	2.513714e+000	2.485667e+000
6.700659019406885e-001	2.514829e+000	2.484542e+000
6.720190269406885e-001	2.516034e+000	2.483326e+000
